GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03805	0	0	0	26.2468716923	0	0	6.8914920635	8.3149135448	0	0	8.3499460194	16.6372135937	0	0	0	0	0	0	0
K03806	0	0	0	36.3795913002	9.6182798916	0	9.2064931762	274.2460431560	0	5.5650164070	0	452.2650371308	0	0	0	0	91.9747802188	325.0572532923	0
K03807	0	0	0	32.9032102665	9.7486705683	0	9.7501559668	25.7070253602	0	0	0	21.9423071210	0	0	0	0	0	0	0
K03808	0	0	0	72.1201663245	10.5547616262	0	9.1732457094	50.7849700973	5.9415153593	0	7.3350042567	69.4254736761	0	0	0	9.0960092472	23.3301179278	28.1954680245	0
K03809	10.7329710070	0	5.6326987155	33.8699732277	14.2024618526	0	7.1013489251	669.1124762736	0	0	0	748.7623211387	0	0	0	0	322.0235704276	515.2544128755	0
K03810	0	0	0	42.8052181514	6.7609028484	0	0	10.1124095627	0	0	0	24.7813560179	0	0	0	0	7.8949251316	0	0
K03811	19.1615234945	15.9074266946	14.0173017960	59.0053641010	14.5705278916	19.7609593669	34.9745344863	47.2525317095	0	0	11.5438569110	131.0906248783	0	0	0	9.1144417851	38.8475837927	97.3597110333	0
K03812	0	0	7.5187969925	14.9814835596	0	0	0	31.4240082526	0	0	0	22.2783143108	0	0	0	0	10.7136204652	7.5187969925	0
K03813	0	0	0	51.2009058380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03814	0	0	0	94.6595159126	45.8519717601	65.9100839473	0	133.3931789999	0	0	30.9441871759	118.1675726673	0	0	0	0	52.6396449816	92.9877609682	0
K03815	0	0	0	0	0	0	0	27.5211666340	0	0	0	12.5098397576	0	0	0	0	0	0	0
K03816	71.1517533375	19.3857019261	16.1438217767	75.8293143213	25.0095277715	85.8436650075	39.0674853753	462.1338620111	9.1123378656	8.9749091476	43.7444917790	1920.2919113719	6.9910867654	23.9956016048	114.8665632105	0	123.7530572047	818.2411076638	39.9045158997
K03817	0	0	0	14.5447156282	0	0	0	0	0	0	6.0105901888	45.4909018264	0	0	0	5.8631971624	0	0	0
K03818	0	0	0	25.2635547171	0	0	0	0	0	0	0	11.6415891743	0	0	0	0	0	0	0
K03819	0	0	0	35.1868195043	0	0	0	0	0	0	0	21.9926084577	0	0	0	0	0	0	0
